review_text,predicted_label
"This hotel is not worth 3 stars. The interior of the room is old, the photos do not match the room I had booked. There is no electrical outlet near the bed, only one in the bathroom (broken) and 2 behind the television and they are not suitable for tourists (you need an adapter) in the description of the room it is noted that the room is soundproofed, that's not true, there is a lot of outside noise. There should have been a safe, but there wasn't. I stayed in 5 different hotels in Cebu and this one is the worst, I didn't even stay. Don't go to this hotel, you can find much better for the same price.",negative
"Nice rooms and function hall on the 5th floor. Though parking spaces are up to the 4th only but the staff are very courteous, except some guys in the lobby. Only one working elevator out of three but the steep stairs will do for an exercise.",positive
"Nice view of the city!!! But for the food i think they need to revamp it, it just taste okay no wow factor on that. The function rooms look old. Overall, it is still one of the sought after hotels because of its accessiblity to the city proper, malls, hospitals and even Philhealth!",positive
Currently under renovation so it does not look pleasing inside and outside as of the moment. Also the elevator in the basement parking is still under construction too. You will be walking by the stairs from the parking area going to the lobby. Their female comfort room near the convention hall doesn't have tissue rolls available so you will have to bring your own tissue if you'll be needing to use tissue.,negative
"Situated close to the mall & very accessible. It offers buffet at its restaurant with a good selection of food. Its cafe is artistically designed & cozy. Staff is well-trained, corteous &helpful to the clients/customers",positive
"Avoid this place like a virus. Especially the Condos (apartments) they offer. Kim (the manager) will like constantly about what they offer. Told me there would be a cooking hob in the room and that there would be cleaning once a week. Neither of those things happened. No cooking hob, cleaning once every two weeks at best. And when you complain, she basically threatens to CALL THE POLICE. The rooms are also worn out and definitely NOT as advertised. [Dec 18 2019]",negative
Great hotel. Good location. Very clean. A bit dated but functional. It even has a safe in the room that works!,positive
I am fun of spending time at Milas for my lunch and snacks. They have good service and well trained crew. Clean and assured that their food preparation is best for the consumer's taste.,positive
It is a good place to stay overnight. There's a complimentary bottled water. Nice view of the city. The room is big enough for 5 persons. The room we got have 5 solo beds.,positive
"We attended a wedding at the venue. Their foods are simple but tasty. Lami pud ilang pork lechon! Also, enough space for parking.",negative
The service is phenomenal but the food standards are below expectations.,positive
Food offering is limited. They also have a limited number of staff to serve a large crowd. They are slow in accommodating special guest request such as additional food for walk-in training participants.,negative
Old rooms with outdated aircons. Good location one ride to downtown,positive
"Golden Peak Hotel and Suites is fine... Though before it was one of the most magnificient Hotels in Cebu City but the Hotel have not improved along with the tide of times with so many competitors sprouting out in Cebu City... the building is quite old, including it beds, furnitures and even telephones... I hope the hotel management can do a little bit of makeover to the hotel once I love so much in Cebu City... Though the hotel is quite old, the staff of the hotel are so polite and accommodating... The hotel is located to almost near to anything that you need in the metro... It is near the Ayala Center, to the Capitol, to BPO companies in Lahug... It is also just near to night life and bars Metro Cebu could offer...",negative
"Would have been nice if only you provided rags on your bathrooms to keep the floor dry. But nonetheless, your rooms are very nice and spacious.",negative
"Thank you for the good service, we will definitely come back again, the staff are the best!",positive
"The venue is good. The food is satisfying. However, there a problem with the missing property of my colleague which was not addressed appropriately.",negative
I love the view at the top. Hotel crew were always there to assist you. Location is very accessible,positive
Great service but had a little bit problem with the AC.,negative
Affordable room rates. Easy to find location. Five minutes away from Ayala Mall. It is just beside the crossing.,positive
"Room looks cheap Food tastes normal, nothing extraordinary Free breakfast Slightly expensive",negative
Rooms are quite old and room service was not done during my stay.,negative
Disappointing. How could be a fish fillet turned into a fried galunggong. Showing good rooms only to attract guests.,negative
Needs reconstruction though the city light in the top floor looks great! They should focus on that because it's their asset. :),negative
Staffs are friendly. Place is clean.,positive
One of Cebu's old hotel. Big rooms and inexpensive. New wing is better than the old wing.,positive
The room is ok but amenities were lacking,positive
"Bad experience,,,in buffet,drinks serve too late..very hot hallway and elevator,,:(",negative
Still needs improvement on their function rooms. Food are not so good & cold.,negative
Rooms are cheap but comfortable. Food is okay.,positive
Good service. Mediocre breakfast buffet. Has cable service.,positive
Some staff are rude.,negative
